IST Url,IST Title,OPB Url,Amazon URL,Target URL,Retail Price,OPB Status,OPB Current Price,IST Status,IST Current Price,Amazon Status,Amazon Current Price,Target Status,Target Current Price,Min Current Price,All time Low Price,Target Doc Name,Last Updated
https://www.instocktrades.com/products/jan170377/batgirl-the-birds-of-prey-tp-vol-01-who-is-oracle-(rebirth,Batgirl & the Birds of Prey TP Vol 01 Who Is Oracle (Rebirth,,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/sep170401/batgirl-the-birds-of-prey-tp-vol-02-source-code-(rebirth,Batgirl & the Birds of Prey TP Vol 02 Source Code (Rebirth,,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/jul217160/batgirl-of-burnside-omnibus-hc,Batgirl of Burnside Omnibus HC,https://organicpricedbooks.com/collections/dc-comics/products/batgirl-of-burnside-omnibus,,,,,,,,,,,,,,Batgirl of Burnside Omnibus,
https://www.instocktrades.com/products/aug180597/batgirl-the-bronze-age-omnibus-hc-vol-02,Batgirl the Bronze Age Omnibus HC Vol 02,,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/dec148636/batgirl-tp-vol-01-the-batgirl-of-burnside-(n52),Batgirl TP Vol 01 the Batgirl of Burnside (N52),,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/jul130236/batgirl-tp-vol-02-knightfall-descends-(n52),Batgirl TP Vol 02 Knightfall Descends (N52),,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/feb150250/batgirl-tp-vol-05-deadline-(n52),Batgirl TP Vol 05 Deadline (N52),,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/mar200614/batgirl-tp-vol-07-oracle-rising,Batgirl TP Vol 07 Oracle Rising,,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/dec207085/batgirl-vol-08-the-joker-war-hc,Batgirl Vol 08 the Joker War HC,,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/oct207126/batgirl-returns-omnibus-hc,Batgirl Returns Omnibus HC,https://organicpricedbooks.com/products/batgirl-returns-omnibus-hc,,,,,,,,,,,,,,Batgirl Returns Omnibus,
https://www.instocktrades.com/comingsoon/jun237264/batgirl-year-one-tp-(2023-edition),Batgirl Year One TP (2023 Edition),https://organicpricedbooks.com/products/batgirl-year-one-2023-edition-on-sale-09-26-2023,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/jul227219/batgirls-tp-vol-01,Batgirls TP Vol 01,,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/nov227207/batgirls-tp-vol-02,Batgirls TP Vol 02,,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/dec180624/batman-harley-quinn-tp,Batman & Harley Quinn TP,,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/jun217057/batman-robin-and-howard-tp,Batman & Robin and Howard TP,,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/apr227169/batman-scooby-doo-mysteries-tp-vol-02,Batman & Scooby-Doo Mysteries TP Vol 02,,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/jun217212/batman-scooby-doo-mysteries-vol-01-tp,Batman & Scooby-Doo Mysteries Vol 01 TP,,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/jun180436/batman-the-justice-league-manga-tp-vol-01,Batman & the Justice League Manga TP Vol 01,,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/dec207089/batman-the-outsiders-vol-03-the-demons-fire-tp,Batman & the Outsiders Vol 03 the Demons Fire TP,,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/jan190655/batman-the-outsiders-hc-vol-03,Batman & the Outsiders HC Vol 03,,,,,,,,,,,,,,,,
